ExpenseID,Date,DepartmentID,ExpenseCategory,Vendor,CostCenter,ExpenseAmount,BudgetCategory,IsPlanned
EXP-2023-0001,2023-01-09,D01,Salaries & Benefits,Apex Payroll Services,CC-SALES,51615.72,Fixed,True
EXP-2023-0002,2023-01-24,D02,Salaries & Benefits,PensionPlus Ltd,CC-MKTG,21605.28,Fixed,True
EXP-2023-0003,2023-01-18,D03,Salaries & Benefits,Apex Payroll Services,CC-OPS,114021.82,Fixed,True
EXP-2023-0004,2023-01-02,D04,Salaries & Benefits,Apex Payroll Services,CC-FIN,20831.25,Fixed,True
EXP-2023-0005,2023-01-17,D05,Salaries & Benefits,Apex Payroll Services,CC-HR,9365.02,Fixed,True
EXP-2023-0006,2023-01-23,D06,Salaries & Benefits,BenefitHub,CC-IT,20686.92,Fixed,True
EXP-2023-0007,2023-01-09,D01,Rent & Utilities,British Gas Business,CC-SALES,3885.44,Fixed,True
EXP-2023-0008,2023-01-06,D01,Rent & Utilities,Regus Office Solutions,CC-SALES,4888.54,Fixed,True
EXP-2023-0009,2023-01-09,D02,Rent & Utilities,Vodafone Business,CC-MKTG,2849.45,Fixed,True
EXP-2023-0010,2023-01-25,D02,Rent & Utilities,British Gas Business,CC-MKTG,2345.71,Fixed,True
EXP-2023-0011,2023-01-13,D03,Rent & Utilities,BT Business,CC-OPS,5522.32,Fixed,True
EXP-2023-0012,2023-01-12,D03,Rent & Utilities,Regus Office Solutions,CC-OPS,7186.19,Fixed,True
EXP-2023-0013,2023-01-02,D04,Rent & Utilities,E.ON Energy,CC-FIN,1643.52,Fixed,True
EXP-2023-0014,2023-01-04,D04,Rent & Utilities,Vodafone Business,CC-FIN,1959.27,Fixed,True
EXP-2023-0015,2023-01-10,D05,Rent & Utilities,Severn Trent Water,CC-HR,671.33,Fixed,True
EXP-2023-0016,2023-01-12,D05,Rent & Utilities,Vodafone Business,CC-HR,1108.5,Fixed,True
EXP-2023-0017,2023-01-03,D06,Rent & Utilities,E.ON Energy,CC-IT,1526.51,Fixed,True
EXP-2023-0018,2023-01-25,D06,Rent & Utilities,Regus Office Solutions,CC-IT,2286.25,Fixed,True
EXP-2023-0019,2023-01-27,D02,Marketing & Advertising,TradeShow Expo,CC-MKTG,10892.82,Discretionary,True
EXP-2023-0020,2023-01-09,D02,Marketing & Advertising,Meta for Business,CC-MKTG,11681.97,Discretionary,True
EXP-2023-0021,2023-01-20,D02,Marketing & Advertising,Eventbrite Corporate,CC-MKTG,21589.18,Discretionary,True
EXP-2023-0022,2023-01-23,D06,Marketing & Advertising,HubSpot Europe,CC-IT,1468.72,Discretionary,False
EXP-2023-0023,2023-01-11,D01,Travel & Entertainment,Expedia Business Travel,CC-SALES,3607.79,Discretionary,True
EXP-2023-0024,2023-01-31,D01,Travel & Entertainment,Booking.com for Business,CC-SALES,3750.38,Discretionary,True
EXP-2023-0025,2023-01-16,D01,Travel & Entertainment,Uber for Business,CC-SALES,5993.16,Discretionary,True
EXP-2023-0026,2023-01-24,D02,Travel & Entertainment,Marriott Business,CC-MKTG,3644.69,Discretionary,True
EXP-2023-0027,2023-01-19,D03,Travel & Entertainment,Uber for Business,CC-OPS,1526.71,Discretionary,True
EXP-2023-0028,2023-01-05,D03,Travel & Entertainment,Booking.com for Business,CC-OPS,1676.33,Discretionary,False
EXP-2023-0029,2023-01-04,D04,Travel & Entertainment,Booking.com for Business,CC-FIN,422.56,Discretionary,True
EXP-2023-0030,2023-01-20,D04,Travel & Entertainment,Hertz Corporate,CC-FIN,692.17,Discretionary,False
EXP-2023-0031,2023-01-09,D06,Travel & Entertainment,Booking.com for Business,CC-IT,1352.62,Discretionary,True
EXP-2023-0032,2023-01-04,D01,Software & Tools,Atlassian,CC-SALES,3046.38,Variable,True
EXP-2023-0033,2023-01-25,D01,Software & Tools,Zoom Video Communications,CC-SALES,2942.62,Variable,True
EXP-2023-0034,2023-01-06,D02,Software & Tools,Zoom Video Communications,CC-MKTG,2616.42,Variable,True
EXP-2023-0035,2023-01-24,D02,Software & Tools,Adobe Creative Cloud,CC-MKTG,1807.79,Variable,True
EXP-2023-0036,2023-01-17,D03,Software & Tools,SAP Business One,CC-OPS,2066.27,Variable,True
EXP-2023-0037,2023-01-17,D03,Software & Tools,Microsoft Licensing,CC-OPS,1944.62,Variable,True
EXP-2023-0038,2023-01-06,D04,Software & Tools,Slack Technologies,CC-FIN,1708.04,Variable,True
EXP-2023-0039,2023-01-30,D04,Software & Tools,Slack Technologies,CC-FIN,3066.3,Variable,False
EXP-2023-0040,2023-01-04,D05,Software & Tools,Microsoft Licensing,CC-HR,1618.73,Variable,True
EXP-2023-0041,2023-01-10,D05,Software & Tools,SAP Business One,CC-HR,1954.47,Variable,True
EXP-2023-0042,2023-01-31,D06,Software & Tools,Salesforce Europe,CC-IT,2908.53,Variable,False
EXP-2023-0043,2023-01-03,D06,Software & Tools,Microsoft Licensing,CC-IT,3008.35,Variable,True
EXP-2023-0044,2023-01-17,D01,Office Supplies,Office Depot Europe,CC-SALES,1030.84,Variable,True
EXP-2023-0045,2023-01-25,D01,Office Supplies,Office Depot Europe,CC-SALES,1041.48,Variable,False
EXP-2023-0046,2023-01-12,D02,Office Supplies,Amazon Business,CC-MKTG,1184.99,Variable,True
EXP-2023-0047,2023-01-03,D02,Office Supplies,Office Depot Europe,CC-MKTG,1336.19,Variable,True
EXP-2023-0048,2023-01-19,D03,Office Supplies,Viking Direct,CC-OPS,936.81,Variable,True
EXP-2023-0049,2023-01-02,D03,Office Supplies,Amazon Business,CC-OPS,919.99,Variable,True
EXP-2023-0050,2023-01-11,D04,Office Supplies,Amazon Business,CC-FIN,496.57,Variable,True
EXP-2023-0051,2023-01-16,D04,Office Supplies,Staples Business,CC-FIN,767.97,Variable,True
EXP-2023-0052,2023-01-19,D05,Office Supplies,Amazon Business,CC-HR,522.14,Variable,True
EXP-2023-0053,2023-01-04,D05,Office Supplies,Office Depot Europe,CC-HR,402.16,Variable,True
EXP-2023-0054,2023-01-24,D06,Office Supplies,Staples Business,CC-IT,570.64,Variable,True
EXP-2023-0055,2023-01-04,D06,Office Supplies,Staples Business,CC-IT,576.46,Variable,False
EXP-2023-0056,2023-01-18,D01,Other,Iron Mountain Storage,CC-SALES,1883.97,Variable,True
EXP-2023-0057,2023-01-30,D02,Other,Waste Management UK,CC-MKTG,721.05,Variable,True
EXP-2023-0058,2023-01-02,D03,Other,FedEx Express,CC-OPS,3382.53,Variable,False
EXP-2023-0059,2023-01-06,D04,Other, miscellaneous,CC-FIN,1927.02,Variable,False
EXP-2023-0060,2023-01-02,D05,Other,Waste Management UK,CC-HR,1000.87,Variable,True
EXP-2023-0061,2023-01-26,D06,Other,DHL Supply Chain,CC-IT,1371.7,Variable,False
EXP-2023-0062,2023-02-23,D01,Salaries & Benefits,HMRC PAYE,CC-SALES,68947.6,Fixed,True
EXP-2023-0063,2023-02-16,D02,Salaries & Benefits,BenefitHub,CC-MKTG,31343.54,Fixed,True
EXP-2023-0064,2023-02-07,D03,Salaries & Benefits,PensionPlus Ltd,CC-OPS,75116.64,Fixed,True
EXP-2023-0065,2023-02-02,D04,Salaries & Benefits,Apex Payroll Services,CC-FIN,20655.46,Fixed,True
EXP-2023-0066,2023-02-16,D05,Salaries & Benefits,HealthShield Insurance,CC-HR,8959.53,Fixed,True
EXP-2023-0067,2023-02-17,D06,Salaries & Benefits,BenefitHub,CC-IT,44472.47,Fixed,True
EXP-2023-0068,2023-02-03,D01,Rent & Utilities,Regus Office Solutions,CC-SALES,11085.85,Fixed,True
EXP-2023-0069,2023-02-03,D02,Rent & Utilities,British Gas Business,CC-MKTG,3978.01,Fixed,True
EXP-2023-0070,2023-02-13,D03,Rent & Utilities,Vodafone Business,CC-OPS,20889.18,Fixed,True
EXP-2023-0071,2023-02-08,D04,Rent & Utilities,Regus Office Solutions,CC-FIN,5480.77,Fixed,True
EXP-2023-0072,2023-02-20,D05,Rent & Utilities,E.ON Energy,CC-HR,2178.12,Fixed,True
EXP-2023-0073,2023-02-17,D06,Rent & Utilities,Regus Office Solutions,CC-IT,3788.29,Fixed,True
EXP-2023-0074,2023-02-09,D01,Marketing & Advertising,Google Ads,CC-SALES,6814.68,Discretionary,True
EXP-2023-0075,2023-02-03,D02,Marketing & Advertising,Google Ads,CC-MKTG,10918.58,Discretionary,True
EXP-2023-0076,2023-02-03,D02,Marketing & Advertising,LinkedIn Business,CC-MKTG,9279.63,Discretionary,False
EXP-2023-0077,2023-02-03,D02,Marketing & Advertising,Mailchimp,CC-MKTG,7397.03,Discretionary,True
EXP-2023-0078,2023-02-27,D02,Marketing & Advertising,Google Ads,CC-MKTG,8597.97,Discretionary,True
EXP-2023-0079,2023-02-21,D02,Marketing & Advertising,Mailchimp,CC-MKTG,11163.19,Discretionary,True
EXP-2023-0080,2023-02-09,D04,Marketing & Advertising,Eventbrite Corporate,CC-FIN,819.44,Discretionary,False
EXP-2023-0081,2023-02-07,D01,Travel & Entertainment,British Airways Business,CC-SALES,4992.55,Discretionary,True
EXP-2023-0082,2023-02-16,D01,Travel & Entertainment,Marriott Business,CC-SALES,5100.92,Discretionary,True
EXP-2023-0083,2023-02-03,D01,Travel & Entertainment,British Airways Business,CC-SALES,6099.91,Discretionary,False
EXP-2023-0084,2023-02-21,D02,Travel & Entertainment,Booking.com for Business,CC-MKTG,2380.87,Discretionary,True
EXP-2023-0085,2023-02-23,D02,Travel & Entertainment,British Airways Business,CC-MKTG,1374.21,Discretionary,True
EXP-2023-0086,2023-02-23,D03,Travel & Entertainment,Uber for Business,CC-OPS,2290.4,Discretionary,True
EXP-2023-0087,2023-02-14,D05,Travel & Entertainment,Expedia Business Travel,CC-HR,796.26,Discretionary,True
EXP-2023-0088,2023-02-28,D05,Travel & Entertainment,Hertz Corporate,CC-HR,397.89,Discretionary,True
EXP-2023-0089,2023-02-28,D01,Software & Tools,Salesforce Europe,CC-SALES,5155.44,Variable,True
EXP-2023-0090,2023-02-08,D02,Software & Tools,Adobe Creative Cloud,CC-MKTG,8274.42,Variable,True
EXP-2023-0091,2023-02-06,D03,Software & Tools,Atlassian,CC-OPS,2190.0,Variable,True
