InvoiceID,Date,CustomerID,ProductID,BusinessUnit,Region,SalespersonID,Quantity,UnitPrice,DiscountPct,Revenue,DiscountAmount,TaxPct,TaxAmount,NetRevenue
INV-2023-0001,2023-10-17,C076,P025,EU Export,France,S08,15,253.57,0.0,3803.55,0.0,0.2,760.71,4564.26
INV-2023-0002,2023-05-15,C005,P031,EU Export,Germany,S07,15,677.55,0.05,10163.25,508.16,0.19,1834.47,11489.56
INV-2023-0003,2023-01-20,C077,P029,EU Export,Spain,S08,5,63.45,0.0,317.25,0.0,0.21,66.62,383.87
INV-2023-0004,2023-06-04,C025,P017,UK Domestic,Scotland,S06,10,120.79,0.0,1207.9,0.0,0.2,241.58,1449.48
INV-2024-0005,2024-04-13,C011,P010,UK Domestic,Scotland,S06,8,1479.27,0.0,11834.16,0.0,0.2,2366.83,14200.99
INV-2024-0006,2024-08-16,C018,P017,UK Domestic,Scotland,S06,15,116.51,0.0,1747.65,0.0,0.2,349.53,2097.18
INV-2024-0007,2024-04-10,C015,P003,UK Domestic,North UK,S01,50,1217.53,0.1,60876.5,6087.65,0.2,10957.77,65746.62
INV-2024-0008,2024-09-02,C025,P004,UK Domestic,Scotland,S06,20,536.06,0.0,10721.2,0.0,0.2,2144.24,12865.44
INV-2023-0009,2023-04-21,C043,P002,UK Domestic,North UK,S02,40,564.47,0.0,22578.8,0.0,0.2,4515.76,27094.56
INV-2024-0010,2024-05-20,C026,P017,EU Export,Germany,S07,15,122.81,0.0,1842.15,0.0,0.19,350.01,2192.16
INV-2024-0011,2024-12-14,C064,P036,UK Domestic,North UK,S01,30,217.52,0.05,6525.6,326.28,0.2,1239.86,7439.18
INV-2024-0012,2024-11-15,C007,P007,EU Export,Spain,S08,1,361.68,0.0,361.68,0.0,0.21,75.95,437.63
INV-2023-0013,2023-10-26,C024,P029,UK Domestic,Midlands,S05,8,64.81,0.0,518.48,0.0,0.2,103.7,622.18
INV-2024-0014,2024-02-11,C011,P028,UK Domestic,Scotland,S06,2,66.68,0.15,133.36,20.0,0.2,22.67,136.03
INV-2024-0015,2024-08-07,C017,P001,UK Domestic,Midlands,S05,25,2562.98,0.05,64074.5,3203.73,0.2,12174.15,73044.92
INV-2024-0016,2024-07-06,C064,P003,UK Domestic,North UK,S02,8,1222.67,0.0,9781.36,0.0,0.2,1956.27,11737.63
INV-2024-0017,2024-10-10,C052,P011,UK Domestic,Midlands,S05,2,801.49,0.0,1602.98,0.0,0.2,320.6,1923.58
INV-2023-0018,2023-09-14,C061,P020,EU Export,Germany,S07,30,259.93,0.0,7797.9,0.0,0.19,1481.6,9279.5
INV-2023-0019,2023-04-19,C060,P026,UK Domestic,Scotland,S06,15,58.54,0.05,878.1,43.9,0.2,166.84,1001.04
INV-2023-0020,2023-12-28,C045,P014,UK Domestic,Midlands,S05,1,734.73,0.0,734.73,0.0,0.2,146.95,881.68
INV-2023-0021,2023-01-31,C053,P010,UK Domestic,Scotland,S06,10,1564.27,0.1,15642.7,1564.27,0.2,2815.69,16894.12
INV-2023-0022,2023-07-21,C037,P026,UK Domestic,South UK,S03,5,58.33,0.0,291.65,0.0,0.2,58.33,349.98
